"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2017/01/01","00:00","2.891","-","2.858"
"2017/01/01","00:06","2.914","-","2.887"
"2017/01/01","00:12","2.936","-","2.911"
"2017/01/01","00:18","2.957","-","2.935"
"2017/01/01","00:24","2.976","-","2.968"
"2017/01/01","00:30","2.994","-","2.986"
"2017/01/01","00:36","3.011","-","3.003"
"2017/01/01","00:42","3.025","-","3.024"
"2017/01/01","00:48","3.038","-","3.045"
"2017/01/01","00:54","3.049","-","3.064"
"2017/01/01","01:00","3.058","-","3.07"
"2017/01/01","01:06","3.064","-","3.092"
"2017/01/01","01:12","3.069","-","3.095"
"2017/01/01","01:18","3.071","-","3.101"
"2017/01/01","01:24","3.07","-","3.104"
"2017/01/01","01:30","3.068","-","3.111"
"2017/01/01","01:36","3.062","-","3.112"
"2017/01/01","01:42","3.054","-","3.111"
"2017/01/01","01:48","3.044","-","3.107"
"2017/01/01","01:54","3.03","-","3.093"
"2017/01/01","02:00","3.014","-","3.077"
"2017/01/01","02:06","2.995","-","3.06"
"2017/01/01","02:12","2.974","-","3.043"
"2017/01/01","02:18","2.949","-","3.018"
"2017/01/01","02:24","2.922","-","2.997"
"2017/01/01","02:30","2.892","-","2.972"
"2017/01/01","02:36","2.859","-","2.947"
"2017/01/01","02:42","2.823","-","2.91"
"2017/01/01","02:48","2.785","-","2.883"
"2017/01/01","02:54","2.744","-","2.831"
"2017/01/01","03:00","2.7","-","2.793"
"2017/01/01","03:06","2.654","-","2.753"
"2017/01/01","03:12","2.605","-","2.711"
"2017/01/01","03:18","2.554","-","2.657"
"2017/01/01","03:24","2.501","-","2.611"
"2017/01/01","03:30","2.446","-","2.561"
"2017/01/01","03:36","2.388","-","2.508"
"2017/01/01","03:42","2.328","-","2.451"
"2017/01/01","03:48","2.266","-","2.399"
"2017/01/01","03:54","2.203","-","2.339"
"2017/01/01","04:00","2.137","-","2.274"
"2017/01/01","04:06","2.07","-","2.214"
"2017/01/01","04:12","2.002","-","2.147"
"2017/01/01","04:18","1.932","-","2.074"
"2017/01/01","04:24","1.861","-","2.011"
"2017/01/01","04:30","1.788","-","1.943"
"2017/01/01","04:36","1.714","-","1.868"
"2017/01/01","04:42","1.64","-","1.79"
"2017/01/01","04:48","1.564","-","1.71"
"2017/01/01","04:54","1.488","-","1.634"
"2017/01/01","05:00","1.411","-","1.548"
"2017/01/01","05:06","1.334","-","1.475"
"2017/01/01","05:12","1.256","-","1.394"
"2017/01/01","05:18","1.178","-","1.306"
"2017/01/01","05:24","1.1","-","1.224"
"2017/01/01","05:30","1.022","-","1.142"
"2017/01/01","05:36","0.945","-","1.06"
"2017/01/01","05:42","0.867","-","0.984"
"2017/01/01","05:48","0.791","-","0.897"
"2017/01/01","05:54","0.715","-","0.82"
"2017/01/01","06:00","0.64","-","0.743"
"2017/01/01","06:06","0.566","-","0.662"
"2017/01/01","06:12","0.494","-","0.576"
"2017/01/01","06:18","0.423","-","0.517"
"2017/01/01","06:24","0.354","-","0.445"
"2017/01/01","06:30","0.287","-","0.37"
"2017/01/01","06:36","0.222","-","0.312"
"2017/01/01","06:42","0.159","-","0.249"
"2017/01/01","06:48","0.099","-","0.187"
"2017/01/01","06:54","0.042","-","0.128"
"2017/01/01","07:00","-0.013","-","0.08"
"2017/01/01","07:06","-0.064","-","0.034"
"2017/01/01","07:12","-0.111","-","-0.012"
"2017/01/01","07:18","-0.156","-","-0.053"
"2017/01/01","07:24","-0.196","-","-0.089"
"2017/01/01","07:30","-0.232","-","-0.116"
"2017/01/01","07:36","-0.265","-","-0.145"
"2017/01/01","07:42","-0.293","-","-0.172"
"2017/01/01","07:48","-0.317","-","-0.189"
"2017/01/01","07:54","-0.336","-","-0.205"
"2017/01/01","08:00","-0.351","-","-0.221"
"2017/01/01","08:06","-0.362","-","-0.226"
"2017/01/01","08:12","-0.367","-","-0.233"
"2017/01/01","08:18","-0.368","-","-0.234"
"2017/01/01","08:24","-0.364","-","-0.227"
"2017/01/01","08:30","-0.356","-","-0.212"
"2017/01/01","08:36","-0.342","-","-0.192"
"2017/01/01","08:42","-0.324","-","-0.169"
"2017/01/01","08:48","-0.302","-","-0.145"
"2017/01/01","08:54","-0.275","-","-0.114"
"2017/01/01","09:00","-0.243","-","-0.08"
"2017/01/01","09:06","-0.207","-","-0.043"
"2017/01/01","09:12","-0.167","-","-0.005"
"2017/01/01","09:18","-0.122","-","0.034"
"2017/01/01","09:24","-0.074","-","0.085"
"2017/01/01","09:30","-0.021","-","0.135"
"2017/01/01","09:36","0.034","-","0.185"
"2017/01/01","09:42","0.094","-","0.239"
"2017/01/01","09:48","0.157","-","0.288"
"2017/01/01","09:54","0.223","-","0.347"
"2017/01/01","10:00","0.291","-","0.408"
"2017/01/01","10:06","0.363","-","0.468"
"2017/01/01","10:12","0.437","-","0.534"
"2017/01/01","10:18","0.514","-","0.602"
"2017/01/01","10:24","0.592","-","0.671"
"2017/01/01","10:30","0.673","-","0.749"
"2017/01/01","10:36","0.756","-","0.824"
"2017/01/01","10:42","0.84","-","0.899"
"2017/01/01","10:48","0.925","-","0.978"
"2017/01/01","10:54","1.012","-","1.059"
"2017/01/01","11:00","1.1","-","1.14"
"2017/01/01","11:06","1.188","-","1.225"
"2017/01/01","11:12","1.277","-","1.312"
"2017/01/01","11:18","1.367","-","1.404"
"2017/01/01","11:24","1.457","-","1.494"
"2017/01/01","11:30","1.548","-","1.579"
"2017/01/01","11:36","1.638","-","1.667"
"2017/01/01","11:42","1.728","-","1.758"
"2017/01/01","11:48","1.818","-","1.85"
"2017/01/01","11:54","1.908","-","1.936"
"2017/01/01","12:00","1.997","-","2.02"
"2017/01/01","12:06","2.085","-","2.109"
"2017/01/01","12:12","2.172","-","2.189"
"2017/01/01","12:18","2.258","-","2.268"
"2017/01/01","12:24","2.344","-","2.356"
"2017/01/01","12:30","2.427","-","2.442"
"2017/01/01","12:36","2.509","-","2.524"
"2017/01/01","12:42","2.59","-","2.604"
"2017/01/01","12:48","2.669","-","2.681"
"2017/01/01","12:54","2.746","-","2.743"
"2017/01/01","13:00","2.821","-","2.811"
"2017/01/01","13:06","2.894","-","2.884"
"2017/01/01","13:12","2.964","-","2.95"
"2017/01/01","13:18","3.032","-","3.01"
"2017/01/01","13:24","3.098","-","3.076"
"2017/01/01","13:30","3.161","-","3.133"
"2017/01/01","13:36","3.221","-","3.188"
"2017/01/01","13:42","3.279","-","3.241"
"2017/01/01","13:48","3.334","-","3.284"
"2017/01/01","13:54","3.385","-","3.326"
"2017/01/01","14:00","3.434","-","3.38"
"2017/01/01","14:06","3.48","-","3.417"
"2017/01/01","14:12","3.522","-","3.456"
"2017/01/01","14:18","3.561","-","3.494"
"2017/01/01","14:24","3.597","-","3.522"
"2017/01/01","14:30","3.63","-","3.545"
"2017/01/01","14:36","3.66","-","3.583"
"2017/01/01","14:42","3.686","-","3.614"
"2017/01/01","14:48","3.709","-","3.638"
"2017/01/01","14:54","3.729","-","3.658"
"2017/01/01","15:00","3.746","-","3.673"
"2017/01/01","15:06","3.76","-","3.69"
"2017/01/01","15:12","3.77","-","3.694"
"2017/01/01","15:18","3.778","-","3.702"
"2017/01/01","15:24","3.783","-","3.717"
"2017/01/01","15:30","3.784","-","3.719"
"2017/01/01","15:36","3.783","-","3.722"
"2017/01/01","15:42","3.779","-","3.725"
"2017/01/01","15:48","3.773","-","3.713"
"2017/01/01","15:54","3.764","-","3.706"
"2017/01/01","16:00","3.752","-","3.694"
"2017/01/01","16:06","3.738","-","3.68"
"2017/01/01","16:12","3.721","-","3.668"
"2017/01/01","16:18","3.702","-","3.654"
"2017/01/01","16:24","3.681","-","3.632"
"2017/01/01","16:30","3.658","-","3.614"
"2017/01/01","16:36","3.633","-","3.595"
"2017/01/01","16:42","3.606","-","3.568"
"2017/01/01","16:48","3.577","-","3.548"
"2017/01/01","16:54","3.546","-","3.522"
"2017/01/01","17:00","3.514","-","3.495"
"2017/01/01","17:06","3.48","-","3.473"
"2017/01/01","17:12","3.444","-","3.44"
"2017/01/01","17:18","3.407","-","3.405"
"2017/01/01","17:24","3.369","-","3.378"
"2017/01/01","17:30","3.329","-","3.348"
"2017/01/01","17:36","3.288","-","3.315"
"2017/01/01","17:42","3.246","-","3.278"
"2017/01/01","17:48","3.203","-","3.24"
"2017/01/01","17:54","3.159","-","3.2"
"2017/01/01","18:00","3.114","-","3.159"
"2017/01/01","18:06","3.068","-","3.12"
"2017/01/01","18:12","3.022","-","3.076"
"2017/01/01","18:18","2.975","-","3.032"
"2017/01/01","18:24","2.928","-","2.99"
"2017/01/01","18:30","2.881","-","2.94"
"2017/01/01","18:36","2.833","-","2.895"
"2017/01/01","18:42","2.786","-","2.847"
"2017/01/01","18:48","2.739","-","2.796"
"2017/01/01","18:54","2.692","-","2.749"
"2017/01/01","19:00","2.646","-","2.699"
"2017/01/01","19:06","2.6","-","2.649"
"2017/01/01","19:12","2.555","-","2.602"
"2017/01/01","19:18","2.511","-","2.553"
"2017/01/01","19:24","2.468","-","2.505"
"2017/01/01","19:30","2.427","-","2.46"
"2017/01/01","19:36","2.387","-","2.418"
"2017/01/01","19:42","2.348","-","2.377"
"2017/01/01","19:48","2.312","-","2.334"
"2017/01/01","19:54","2.277","-","2.296"
"2017/01/01","20:00","2.244","-","2.26"
"2017/01/01","20:06","2.213","-","2.22"
"2017/01/01","20:12","2.184","-","2.19"
"2017/01/01","20:18","2.158","-","2.163"
"2017/01/01","20:24","2.134","-","2.14"
"2017/01/01","20:30","2.113","-","2.117"
"2017/01/01","20:36","2.094","-","2.095"
"2017/01/01","20:42","2.078","-","2.077"
"2017/01/01","20:48","2.064","-","2.06"
"2017/01/01","20:54","2.053","-","2.046"
"2017/01/01","21:00","2.044","-","2.037"
"2017/01/01","21:06","2.038","-","2.027"
"2017/01/01","21:12","2.035","-","2.026"
"2017/01/01","21:18","2.034","-","2.019"
"2017/01/01","21:24","2.035","-","2.02"
"2017/01/01","21:30","2.039","-","2.025"
"2017/01/01","21:36","2.046","-","2.032"
"2017/01/01","21:42","2.054","-","2.037"
"2017/01/01","21:48","2.065","-","2.05"
"2017/01/01","21:54","2.077","-","2.062"
"2017/01/01","22:00","2.092","-","2.075"
"2017/01/01","22:06","2.109","-","2.091"
"2017/01/01","22:12","2.127","-","2.107"
"2017/01/01","22:18","2.146","-","2.127"
"2017/01/01","22:24","2.168","-","2.146"
"2017/01/01","22:30","2.19","-","2.171"
"2017/01/01","22:36","2.214","-","2.195"
"2017/01/01","22:42","2.239","-","2.219"
"2017/01/01","22:48","2.265","-","2.241"
"2017/01/01","22:54","2.291","-","2.268"
"2017/01/01","23:00","2.319","-","2.291"
"2017/01/01","23:06","2.347","-","2.314"
"2017/01/01","23:12","2.375","-","2.34"
"2017/01/01","23:18","2.404","-","2.366"
"2017/01/01","23:24","2.433","-","2.392"
"2017/01/01","23:30","2.463","-","2.415"
"2017/01/01","23:36","2.492","-","2.446"
"2017/01/01","23:42","2.521","-","2.476"
"2017/01/01","23:48","2.551","-","2.505"
"2017/01/01","23:54","2.58","-","2.532"
"2017/01/02","00:00","2.609","-","2.563"
"2017/01/02","00:06","2.637","-","2.59"
"2017/01/02","00:12","2.665","-","2.614"
"2017/01/02","00:18","2.692","-","2.644"
"2017/01/02","00:24","2.719","-","2.671"
"2017/01/02","00:30","2.745","-","2.7"
"2017/01/02","00:36","2.77","-","2.727"
"2017/01/02","00:42","2.794","-","2.758"
"2017/01/02","00:48","2.817","-","2.78"
"2017/01/02","00:54","2.839","-","2.806"
"2017/01/02","01:00","2.86","-","2.829"
"2017/01/02","01:06","2.879","-","2.856"
"2017/01/02","01:12","2.897","-","2.871"
"2017/01/02","01:18","2.914","-","2.892"
"2017/01/02","01:24","2.929","-","2.912"
"2017/01/02","01:30","2.942","-","2.928"
"2017/01/02","01:36","2.953","-","2.946"
"2017/01/02","01:42","2.962","-","2.957"
"2017/01/02","01:48","2.969","-","2.967"
"2017/01/02","01:54","2.975","-","2.975"
"2017/01/02","02:00","2.978","-","2.984"
"2017/01/02","02:06","2.978","-","2.984"
